film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,замок Алник,978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Glen Nevis,978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Goathland railway station,978087613
http://www.wikidata.org/entity/Q105387,День независимости,Нью-Йорк,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Лос-Анджелес,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Исландия,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Юта,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Колорадо,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Питтсбург,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Нью-Джерси,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Нью-Мексико,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Рейкьявик,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Колорадо-Спрингс,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Бонневилль,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Национальная радиоастрономическая обсерватория,817400891
http://www.wikidata.org/entity/Q105387,День независимости,Wendover Airport,817400891
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Новая Зеландия,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Национальный парк Фьордленд,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Уаиау,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Mavora Lakes,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Skippers Canyon,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Mount Owen,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Glenorchy,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Mount Olympus Ski Area,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Paradise,896862909
http://www.wikidata.org/entity/Q127367,Властелин колец: Братство Кольца,Хоббитон (достопримечательность),896862909
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,Лондон,976536918
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,Бавария,976536918
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,Хартфордшир,976536918
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,"Warner Bros. Studios, Leavesden",976536918
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,Ливерпуль,976536918
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,Пембрукшир,976536918
http://www.wikidata.org/entity/Q161678,Гарри Поттер и Дары Смерти. Часть 1,Pinewood Studios,976536918
http://www.wikidata.org/entity/Q161687,Гарри Поттер и Принц-полукровка,Лондон,933959197
http://www.wikidata.org/entity/Q161687,Гарри Поттер и Принц-полукровка,Хартфордшир,933959197
http://www.wikidata.org/entity/Q161687,Гарри Поттер и Принц-полукровка,Глостерский собор,933959197
http://www.wikidata.org/entity/Q163872,Тёмный рыцарь,Лос-Анджелес,1006234167
http://www.wikidata.org/entity/Q163872,Тёмный рыцарь,Чикаго,1006234167
http://www.wikidata.org/entity/Q163872,Тёмный рыцарь,Гонконг,1006234167
http://www.wikidata.org/entity/Q163872,Тёмный рыцарь,Pinewood Studios,1006234167
http://www.wikidata.org/entity/Q164963,Властелин колец: Две крепости,Новая Зеландия,944230330
http://www.wikidata.org/entity/Q164963,Властелин колец: Две крепости,Mount Sunday,944230330
http://www.wikidata.org/entity/Q165713,Звёздные войны. Эпизод I: Скрытая угроза,Тунис,1027082707
http://www.wikidata.org/entity/Q165713,Звёздные войны. Эпизод I: Скрытая угроза,"Warner Bros. Studios, Leavesden",1027082707
http://www.wikidata.org/entity/Q165713,Звёздные войны. Эпизод I: Скрытая угроза,Королевский дворец в Казерте,1027082707
http://www.wikidata.org/entity/Q165713,Звёздные войны. Эпизод I: Скрытая угроза,Замок Хивер,1027082707
http://www.wikidata.org/entity/Q165713,Звёздные войны. Эпизод I: Скрытая угроза,Cassiobury Park,1027082707
http://www.wikidata.org/entity/Q165713,Звёздные войны. Эпизод I: Скрытая угроза,Уиппендел,1027082707
http://www.wikidata.org/entity/Q167726,Парк юрского периода,Гавайи,1030314141
http://www.wikidata.org/entity/Q167726,Парк юрского периода,Кауаи,1030314141
